# Medicare Psych Comorbidity Mappings - ICD10 diagnosis codes with decimals
# File created for Medicare Inpatient FY2026: (08/11/2025 KC)
#
# This file contains the comorbidity mappings used with Medicare Psych
# Combined Comorbidity Assignment. The adjustment factors and comorbidity categories
# in this file have been set by CMS effective 10/01/2025.  It provides the 
# adjustment factor and comorbidity category for each psychiatric ICD10 secondary 
# diagnosis code that is eligible for an adjustment per CMS source data found on 
# CMS website. 
#
# This file is selected on the Date and File tab of the Psych Combined Comorbidity 
# Factors Assignment screen. It should be copied to a directory accessible by the
# person running this calculation.
# 
# Note that if more than one code exists for an encounter that is mapped to the 
# same comorbidity category, the assignment will apply the adjustment only one time.
#
#
# The ICD10 diagnosis codes used below include decimals.
#
# Comorbidity Category Definitions
#  1 - Developmental Disabilities
#  2 - Coagulation Factor Deficits
#  3 - Tracheostomy
#  4 - Renal Failure, Acute
#  5 - Renal Failure, Chronic
#  6 - Oncology Treatment
#  7 - Uncontrolled Type 1 Diabetes - Mellitus with or without complications
#  8 - Severe Protein Calorie Malnutrition
#  9 - Eating and Conduct Disorders
# 10 - Infectious Diseases
# 11 - Drug/Alcohol Induced Mental Disorders
# 12 - Cardiac Conditions
# 13 - Gangrene
# 14 - Chronic Obstructive Pulmonary Disease
# 15 - Artificial Openings - Digestive and Urinary
# 16 - Severe Musculoskeletal & Connective Tissue Diseases
# 17 - Poisoning
#
#Record Format: secondary diagnosis code|adjustment factor|comorbidity category
C84.48|1.44|6
C84.49|1.44|6
C84.4A|1.44|6
C84.60|1.44|6
C84.61|1.44|6
C84.62|1.44|6
C84.63|1.44|6
C84.64|1.44|6
C84.65|1.44|6
C84.66|1.44|6
C84.67|1.44|6
C84.68|1.44|6
C84.69|1.44|6
C84.6A|1.44|6
C84.70|1.44|6
C84.71|1.44|6
C84.72|1.44|6
C84.73|1.44|6
C84.74|1.44|6
C84.75|1.44|6
C84.76|1.44|6
C84.77|1.44|6
C84.78|1.44|6
C84.79|1.44|6
C84.7A|1.44|6
C84.7B|1.44|6
C84.90|1.44|6
C84.91|1.44|6
C84.92|1.44|6
C84.93|1.44|6
C84.94|1.44|6
C84.95|1.44|6
C84.96|1.44|6
C84.97|1.44|6
C84.98|1.44|6
C84.99|1.44|6
C84.9A|1.44|6
C84.A0|1.44|6
C84.A1|1.44|6
C84.A2|1.44|6
C84.A3|1.44|6
C84.A4|1.44|6
C84.A5|1.44|6
C84.A6|1.44|6
C84.A7|1.44|6
C84.A8|1.44|6
C84.A9|1.44|6
C84.AA|1.44|6
C84.Z0|1.44|6
C84.Z1|1.44|6
C84.Z2|1.44|6
C84.Z3|1.44|6
C84.Z4|1.44|6
C84.Z5|1.44|6
C84.Z6|1.44|6
C84.Z7|1.44|6
C84.Z8|1.44|6
C84.Z9|1.44|6
C84.ZA|1.44|6
C85.10|1.44|6
C85.11|1.44|6
C85.12|1.44|6
C85.13|1.44|6
C85.14|1.44|6
C85.15|1.44|6
C85.16|1.44|6
C85.17|1.44|6
C85.18|1.44|6
C85.19|1.44|6
C85.1A|1.44|6
C85.20|1.44|6
C85.21|1.44|6
C85.22|1.44|6
C85.23|1.44|6
C85.24|1.44|6
C85.25|1.44|6
C85.26|1.44|6
C85.27|1.44|6
C85.28|1.44|6
C85.29|1.44|6
C85.2A|1.44|6
C85.80|1.44|6
C85.81|1.44|6
C85.82|1.44|6
C85.83|1.44|6
C85.84|1.44|6
C85.85|1.44|6
C85.86|1.44|6
C85.87|1.44|6
C85.88|1.44|6
C85.89|1.44|6
C85.8A|1.44|6
C85.90|1.44|6
C85.91|1.44|6
C85.92|1.44|6
C85.93|1.44|6
C85.94|1.44|6
C85.95|1.44|6
C85.96|1.44|6
C85.97|1.44|6
C85.98|1.44|6
C85.99|1.44|6
C85.9A|1.44|6
C86.00|1.44|6
C86.01|1.44|6
C86.10|1.44|6
C86.11|1.44|6
C86.20|1.44|6
C86.21|1.44|6
C86.30|1.44|6
C86.31|1.44|6
C86.40|1.44|6
C86.41|1.44|6
C86.50|1.44|6
C86.51|1.44|6
C86.60|1.44|6
C86.61|1.44|6
C88.00|1.44|6
C88.01|1.44|6
C88.20|1.44|6
C88.21|1.44|6
C88.30|1.44|6
C88.31|1.44|6
C88.40|1.44|6
C88.41|1.44|6
C88.80|1.44|6
C88.81|1.44|6
C88.90|1.44|6
C88.91|1.44|6
C90.00|1.44|6
C90.01|1.44|6
C90.02|1.44|6
C90.10|1.44|6
C90.11|1.44|6
C90.12|1.44|6
C90.20|1.44|6
C90.21|1.44|6
C90.22|1.44|6
C90.30|1.44|6
C90.31|1.44|6
C90.32|1.44|6
C91.00|1.44|6
C91.01|1.44|6
C91.02|1.44|6
C91.10|1.44|6
C91.11|1.44|6
C91.12|1.44|6
C91.30|1.44|6
C91.31|1.44|6
C91.32|1.44|6
C91.40|1.44|6
C91.41|1.44|6
C91.42|1.44|6
C91.50|1.44|6
C91.51|1.44|6
C91.52|1.44|6
C91.60|1.44|6
C91.61|1.44|6
C91.62|1.44|6
C91.90|1.44|6
C91.91|1.44|6
C91.92|1.44|6
C91.A0|1.44|6
C91.A1|1.44|6
C91.A2|1.44|6
C91.Z0|1.44|6
C91.Z1|1.44|6
C91.Z2|1.44|6
C92.00|1.44|6
C92.01|1.44|6
C92.02|1.44|6
C92.10|1.44|6
C92.11|1.44|6
C92.12|1.44|6
C92.20|1.44|6
C92.21|1.44|6
C92.22|1.44|6
C92.30|1.44|6
C92.31|1.44|6
C92.32|1.44|6
C92.40|1.44|6
C92.41|1.44|6
C92.42|1.44|6
C92.50|1.44|6
C92.51|1.44|6
C92.52|1.44|6
C92.60|1.44|6
C92.61|1.44|6
C92.62|1.44|6
C92.90|1.44|6
C92.91|1.44|6
C92.92|1.44|6
C92.A0|1.44|6
C92.A1|1.44|6
C92.A2|1.44|6
C92.Z0|1.44|6
C92.Z1|1.44|6
C92.Z2|1.44|6
C93.00|1.44|6
C93.01|1.44|6
C93.02|1.44|6
C93.10|1.44|6
C93.11|1.44|6
C93.12|1.44|6
C93.30|1.44|6
C93.31|1.44|6
C93.32|1.44|6
C93.90|1.44|6
C93.91|1.44|6
C93.92|1.44|6
C93.Z0|1.44|6
C93.Z1|1.44|6
C93.Z2|1.44|6
C94.00|1.44|6
C94.01|1.44|6
C94.02|1.44|6
C94.20|1.44|6
C94.21|1.44|6
C94.22|1.44|6
C94.30|1.44|6
C94.31|1.44|6
C94.32|1.44|6
C94.40|1.44|6
C94.41|1.44|6
C94.42|1.44|6
C94.6|1.44|6
C94.80|1.44|6
C94.81|1.44|6
C94.82|1.44|6
C95.00|1.44|6
C95.01|1.44|6
C95.02|1.44|6
C95.10|1.44|6
C95.11|1.44|6
C95.12|1.44|6
C95.90|1.44|6
C95.91|1.44|6
C95.92|1.44|6
C96.0|1.44|6
C96.20|1.44|6
C96.21|1.44|6
C96.22|1.44|6
C96.29|1.44|6
C96.4|1.44|6
C96.9|1.44|6
C96.A|1.44|6
C96.Z|1.44|6
D00.00|1.44|6
D00.01|1.44|6
D00.02|1.44|6
D00.03|1.44|6
D00.04|1.44|6
D00.05|1.44|6
D00.06|1.44|6
D00.07|1.44|6
D00.08|1.44|6
D00.1|1.44|6
D00.2|1.44|6
D01.0|1.44|6
D01.1|1.44|6
D01.2|1.44|6
D01.3|1.44|6
D01.40|1.44|6
D01.49|1.44|6
D01.5|1.44|6
D01.7|1.44|6
D01.9|1.44|6
D02.0|1.44|6
D02.1|1.44|6
D02.20|1.44|6
D02.21|1.44|6
D02.22|1.44|6
D02.3|1.44|6
D02.4|1.44|6
D03.0|1.44|6
D03.111|1.44|6
D03.112|1.44|6
D03.121|1.44|6
D03.122|1.44|6
D03.21|1.44|6
D03.22|1.44|6
D03.30|1.44|6
D03.39|1.44|6
D03.4|1.44|6
D03.51|1.44|6
D03.52|1.44|6
D03.59|1.44|6
D03.61|1.44|6
D03.62|1.44|6
D03.71|1.44|6
D03.72|1.44|6
D03.8|1.44|6
D03.9|1.44|6
D04.0|1.44|6
D04.111|1.44|6
D04.112|1.44|6
D04.121|1.44|6
D04.122|1.44|6
D04.21|1.44|6
D04.22|1.44|6
D04.30|1.44|6
D04.39|1.44|6
D04.4|1.44|6
D04.5|1.44|6
D04.61|1.44|6
D04.62|1.44|6
D04.71|1.44|6
D04.72|1.44|6
D04.8|1.44|6
D04.9|1.44|6
D05.01|1.44|6
D05.02|1.44|6
D05.11|1.44|6
D05.12|1.44|6
D05.81|1.44|6
D05.82|1.44|6
D05.91|1.44|6
D05.92|1.44|6
D06.0|1.44|6
D06.1|1.44|6
D06.7|1.44|6
D06.9|1.44|6
D07.0|1.44|6
D07.1|1.44|6
D07.2|1.44|6
D07.30|1.44|6
D07.39|1.44|6
D07.4|1.44|6
D07.5|1.44|6
D07.60|1.44|6
D07.61|1.44|6
D07.69|1.44|6
D09.0|1.44|6
D09.10|1.44|6
D09.19|1.44|6
D09.21|1.44|6
D09.22|1.44|6
D09.3|1.44|6
D09.8|1.44|6
D09.9|1.44|6
D10.0|1.44|6
D10.1|1.44|6
D10.2|1.44|6
D10.30|1.44|6
D10.39|1.44|6
D10.4|1.44|6
D10.5|1.44|6
D10.6|1.44|6
D10.7|1.44|6
D10.9|1.44|6
D11.0|1.44|6
D11.7|1.44|6
D11.9|1.44|6
D12.0|1.44|6
D12.1|1.44|6
D12.2|1.44|6
D12.3|1.44|6
D12.4|1.44|6
D12.5|1.44|6
D12.6|1.44|6
D12.7|1.44|6
D12.8|1.44|6
D12.9|1.44|6
D13.0|1.44|6
D13.1|1.44|6
D13.2|1.44|6
D13.30|1.44|6
D13.39|1.44|6
D13.4|1.44|6
D13.5|1.44|6
D13.6|1.44|6
D13.7|1.44|6
D13.99|1.44|6
D14.0|1.44|6
D14.1|1.44|6
D14.2|1.44|6
D14.30|1.44|6
D14.31|1.44|6
D14.32|1.44|6
D14.4|1.44|6
D15.0|1.44|6
D15.1|1.44|6
D15.2|1.44|6
D15.7|1.44|6
D15.9|1.44|6
D16.01|1.44|6
D16.02|1.44|6
D16.11|1.44|6
D16.12|1.44|6
D16.21|1.44|6
D16.22|1.44|6
D16.31|1.44|6
D16.32|1.44|6
D16.4|1.44|6
D16.5|1.44|6
D16.6|1.44|6
D16.7|1.44|6
D16.8|1.44|6
D16.9|1.44|6
D17.0|1.44|6
D17.1|1.44|6
D17.21|1.44|6
D17.22|1.44|6
D17.23|1.44|6
D17.24|1.44|6
D17.30|1.44|6
D17.39|1.44|6
D17.4|1.44|6
D17.5|1.44|6
D17.6|1.44|6
D17.71|1.44|6
D17.72|1.44|6
D17.79|1.44|6
D17.9|1.44|6
D18.00|1.44|6
D18.01|1.44|6
D18.02|1.44|6
D18.03|1.44|6
D18.09|1.44|6
D18.1|1.44|6
D19.0|1.44|6
D19.1|1.44|6
D19.7|1.44|6
D19.9|1.44|6
D20.0|1.44|6
D20.1|1.44|6
D21.0|1.44|6
D21.11|1.44|6
D21.12|1.44|6
D21.21|1.44|6
D21.22|1.44|6
D21.3|1.44|6
D21.4|1.44|6
D21.5|1.44|6
D21.6|1.44|6
D21.9|1.44|6
D22.0|1.44|6
D22.111|1.44|6
D22.112|1.44|6
D22.121|1.44|6
D22.122|1.44|6
D22.21|1.44|6
D22.22|1.44|6
D22.30|1.44|6
D22.39|1.44|6
D22.4|1.44|6
D22.5|1.44|6
D22.61|1.44|6
D22.62|1.44|6
D22.71|1.44|6
D22.72|1.44|6
D22.9|1.44|6
D23.0|1.44|6
D23.111|1.44|6
D23.112|1.44|6
D23.121|1.44|6
D23.122|1.44|6
D23.21|1.44|6
D23.22|1.44|6
D23.30|1.44|6
D23.39|1.44|6
D23.4|1.44|6
D23.5|1.44|6
D23.61|1.44|6
D23.62|1.44|6
D23.71|1.44|6
D23.72|1.44|6
D23.9|1.44|6
D24.1|1.44|6
D24.2|1.44|6
D25.0|1.44|6
D25.1|1.44|6
D25.2|1.44|6
D25.9|1.44|6
D26.0|1.44|6
D26.1|1.44|6
D26.7|1.44|6
D26.9|1.44|6
D27.0|1.44|6
D27.1|1.44|6
D27.9|1.44|6
D28.0|1.44|6
D28.1|1.44|6
D28.2|1.44|6
D28.7|1.44|6
D28.9|1.44|6
D29.0|1.44|6
D29.1|1.44|6
D29.20|1.44|6
D29.21|1.44|6
D29.22|1.44|6
D29.30|1.44|6
D29.31|1.44|6
D29.32|1.44|6
D29.4|1.44|6
D29.8|1.44|6
D29.9|1.44|6
D30.00|1.44|6
D30.01|1.44|6
D30.02|1.44|6
D30.10|1.44|6
D30.11|1.44|6
D30.12|1.44|6
D30.20|1.44|6
D30.21|1.44|6
D30.22|1.44|6
D30.3|1.44|6
D30.4|1.44|6
D30.8|1.44|6
D30.9|1.44|6
D31.01|1.44|6
D31.02|1.44|6
D31.10|1.44|6
D31.11|1.44|6
D31.12|1.44|6
D31.20|1.44|6
D31.21|1.44|6
D31.22|1.44|6
D31.30|1.44|6
D31.31|1.44|6
D31.32|1.44|6
D31.40|1.44|6
D31.41|1.44|6
D31.42|1.44|6
D31.51|1.44|6
D31.52|1.44|6
D31.61|1.44|6
D31.62|1.44|6
D31.91|1.44|6
D31.92|1.44|6
D32.0|1.44|6
D32.1|1.44|6
D32.9|1.44|6
D33.0|1.44|6
D33.1|1.44|6
D33.2|1.44|6
D33.3|1.44|6
D33.4|1.44|6
D33.7|1.44|6
D33.9|1.44|6
D34.|1.44|6
D35.00|1.44|6
D35.01|1.44|6
D35.02|1.44|6
D35.1|1.44|6
D35.2|1.44|6
D35.3|1.44|6
D35.4|1.44|6
D35.5|1.44|6
D35.6|1.44|6
D35.7|1.44|6
D35.9|1.44|6
D36.0|1.44|6
D36.10|1.44|6
D36.11|1.44|6
D36.12|1.44|6
D36.13|1.44|6
D36.14|1.44|6
D36.15|1.44|6
D36.16|1.44|6
D36.17|1.44|6
D36.7|1.44|6
D36.9|1.44|6
D37.01|1.44|6
D37.02|1.44|6
D37.030|1.44|6
D37.031|1.44|6
D37.032|1.44|6
D37.039|1.44|6
D37.04|1.44|6
D37.05|1.44|6
D37.09|1.44|6
D37.1|1.44|6
D37.2|1.44|6
D37.3|1.44|6
D37.4|1.44|6
D37.5|1.44|6
D37.6|1.44|6
D37.8|1.44|6
D37.9|1.44|6
D38.0|1.44|6
D38.1|1.44|6
D38.2|1.44|6
D38.3|1.44|6
D38.4|1.44|6
D38.5|1.44|6
D38.6|1.44|6
D39.0|1.44|6
D39.10|1.44|6
D39.11|1.44|6
D39.12|1.44|6
D39.2|1.44|6
D39.8|1.44|6
D39.9|1.44|6
D3A.00|1.44|6
D3A.010|1.44|6
D3A.011|1.44|6
D3A.012|1.44|6
D3A.019|1.44|6
D3A.020|1.44|6
D3A.021|1.44|6
D3A.022|1.44|6
D3A.023|1.44|6
D3A.024|1.44|6
D3A.025|1.44|6
D3A.026|1.44|6
D3A.029|1.44|6
D3A.090|1.44|6
D3A.091|1.44|6
D3A.092|1.44|6
D3A.093|1.44|6
D3A.094|1.44|6
D3A.095|1.44|6
D3A.096|1.44|6
D3A.098|1.44|6
D3A.8|1.44|6
D40.0|1.44|6
D40.10|1.44|6
D40.11|1.44|6
D40.12|1.44|6
D40.8|1.44|6
D40.9|1.44|6
D41.00|1.44|6
D41.01|1.44|6
D41.02|1.44|6
D41.10|1.44|6
D41.11|1.44|6
D41.12|1.44|6
D41.20|1.44|6
D41.21|1.44|6
D41.22|1.44|6
D41.3|1.44|6
D41.4|1.44|6
D41.8|1.44|6
D41.9|1.44|6
D42.0|1.44|6
D42.1|1.44|6
D42.9|1.44|6
D43.0|1.44|6
D43.1|1.44|6
D43.2|1.44|6
D43.3|1.44|6
D43.4|1.44|6
D43.8|1.44|6
D43.9|1.44|6
D44.0|1.44|6
D44.10|1.44|6
D44.11|1.44|6
D44.12|1.44|6
D44.2|1.44|6
D44.3|1.44|6
D44.4|1.44|6
D44.5|1.44|6
D44.6|1.44|6
D44.7|1.44|6
D44.9|1.44|6
D45.|1.44|6
D46.0|1.44|6
D46.1|1.44|6
D46.20|1.44|6
D46.21|1.44|6
D46.22|1.44|6
D46.4|1.44|6
D46.9|1.44|6
D46.A|1.44|6
D46.B|1.44|6
D46.C|1.44|6
D46.Z|1.44|6
D47.01|1.44|6
D47.02|1.44|6
D47.09|1.44|6
D47.1|1.44|6
D47.3|1.44|6
D47.9|1.44|6
D47.Z1|1.44|6
D47.Z9|1.44|6
D48.0|1.44|6
D48.110|1.44|6
D48.111|1.44|6
D48.112|1.44|6
D48.113|1.44|6
D48.114|1.44|6
D48.115|1.44|6
D48.116|1.44|6
D48.117|1.44|6
D48.118|1.44|6
D48.119|1.44|6
D48.19|1.44|6
D48.2|1.44|6
D48.3|1.44|6
D48.4|1.44|6
D48.5|1.44|6
D48.61|1.44|6
D48.62|1.44|6
D48.7|1.44|6
D48.9|1.44|6
D49.0|1.44|6
D49.1|1.44|6
D49.2|1.44|6
D49.3|1.44|6
D49.4|1.44|6
D49.511|1.44|6
D49.512|1.44|6
D49.59|1.44|6
D49.6|1.44|6
D49.7|1.44|6
D49.81|1.44|6
D49.89|1.44|6
D49.9|1.44|6
K31.7|1.44|6
K63.5|1.44|6
Q85.00|1.44|6
Q85.01|1.44|6
Q85.02|1.44|6
Q85.03|1.44|6
Q85.09|1.44|6
E10.65|1.05|7
E11.65|1.05|7
E40.|1.17|8
E41.|1.17|8
E42.|1.17|8
E43.|1.17|8
F50.00|1.09|9
F50.010|1.09|9
F50.011|1.09|9
F50.012|1.09|9
F50.013|1.09|9
F50.014|1.09|9
F50.019|1.09|9
F50.020|1.09|9
F50.021|1.09|9
F50.022|1.09|9
F50.023|1.09|9
F50.024|1.09|9
F50.029|1.09|9
F50.20|1.09|9
F50.21|1.09|9
F50.22|1.09|9
F50.23|1.09|9
F50.24|1.09|9
F50.25|1.09|9
F50.810|1.09|9
F50.811|1.09|9
F50.812|1.09|9
F50.813|1.09|9
F50.814|1.09|9
F50.819|1.09|9
F50.83|1.09|9
F50.84|1.09|9
F50.9|1.09|9
I01.0|1.04|12
I01.1|1.04|12
I01.2|1.04|12
I11.0|1.04|12
I27.0|1.04|12
I33.0|1.04|12
I33.9|1.04|12
I39.|1.04|12
E08.52|1.12|13
E09.52|1.12|13
E10.52|1.12|13
E11.52|1.12|13
E13.52|1.12|13
I70.261|1.12|13
I70.262|1.12|13
I70.263|1.12|13
I70.268|1.12|13
I70.361|1.12|13
I70.362|1.12|13
I70.363|1.12|13
I70.368|1.12|13
I70.461|1.12|13
I70.462|1.12|13
I70.463|1.12|13
I70.468|1.12|13
I70.561|1.12|13
I70.562|1.12|13
I70.563|1.12|13
I70.568|1.12|13
I70.661|1.12|13
I70.662|1.12|13
I70.663|1.12|13
I70.668|1.12|13
I70.761|1.12|13
I70.762|1.12|13
I70.763|1.12|13
I70.768|1.12|13
I73.01|1.12|13
I96.|1.12|13
K35.31|1.12|13
K35.891|1.12|13
K82.A1|1.12|13
G47.33|1.09|14
J44.1|1.09|14
J44.81|1.09|14
J44.89|1.09|14
J47.0|1.09|14
J47.1|1.09|14
J86.0|1.09|14
J95.850|1.09|14
J96.10|1.09|14
J96.11|1.09|14
J96.12|1.09|14
J96.20|1.09|14
J96.21|1.09|14
J96.22|1.09|14
U07.1|1.09|14
Z99.11|1.09|14
Z99.12|1.09|14
Z99.81|1.09|14
Z99.89|1.09|14
K94.00|1.07|15
K94.01|1.07|15
K94.02|1.07|15
K94.03|1.07|15
K94.09|1.07|15
K94.10|1.07|15
K94.11|1.07|15
K94.12|1.07|15
K94.13|1.07|15
K94.19|1.07|15
N99.0|1.07|15
N99.520|1.07|15
N99.521|1.07|15
N99.522|1.07|15
N99.523|1.07|15
N99.524|1.07|15
N99.528|1.07|15
N99.530|1.07|15
N99.531|1.07|15
N99.532|1.07|15
N99.533|1.07|15
N99.534|1.07|15
N99.538|1.07|15
N99.81|1.07|15
N99.89|1.07|15
Z93.1|1.07|15
Z93.2|1.07|15
Z93.3|1.07|15
Z93.4|1.07|15
Z93.50|1.07|15
Z93.51|1.07|15
Z93.52|1.07|15
Z93.59|1.07|15
Z93.6|1.07|15
L40.50|1.05|16
L40.51|1.05|16
L40.52|1.05|16
L40.53|1.05|16
L40.54|1.05|16
L40.59|1.05|16
M32.0|1.05|16
M32.10|1.05|16
M32.11|1.05|16
M32.12|1.05|16
M32.13|1.05|16
M32.14|1.05|16
M32.15|1.05|16
M32.19|1.05|16
M32.8|1.05|16
M32.9|1.05|16
M46.20|1.05|16
M46.21|1.05|16
M46.22|1.05|16
M46.23|1.05|16
M46.24|1.05|16
M46.25|1.05|16
M46.26|1.05|16
M46.27|1.05|16
M46.28|1.05|16
M86.011|1.05|16
M86.012|1.05|16
M86.021|1.05|16
M86.022|1.05|16
M86.031|1.05|16
M86.032|1.05|16
M86.041|1.05|16
M86.042|1.05|16
M86.051|1.05|16
M86.052|1.05|16
M86.061|1.05|16
M86.062|1.05|16
M86.071|1.05|16
M86.072|1.05|16
M86.08|1.05|16
M86.09|1.05|16
M86.111|1.05|16
M86.112|1.05|16
M86.121|1.05|16
M86.122|1.05|16
M86.131|1.05|16
M86.132|1.05|16
M86.141|1.05|16
M86.142|1.05|16
M86.151|1.05|16
M86.152|1.05|16
M86.161|1.05|16
M86.162|1.05|16
M86.171|1.05|16
M86.172|1.05|16
M86.18|1.05|16
M86.19|1.05|16
M86.211|1.05|16
M86.212|1.05|16
M86.221|1.05|16
M86.222|1.05|16
M86.231|1.05|16
M86.232|1.05|16
M86.241|1.05|16
M86.242|1.05|16
M86.251|1.05|16
M86.252|1.05|16
M86.261|1.05|16
M86.262|1.05|16
M86.271|1.05|16
M86.272|1.05|16
M86.28|1.05|16
M86.29|1.05|16
M86.311|1.05|16
M86.312|1.05|16
M86.321|1.05|16
M86.322|1.05|16
M86.331|1.05|16
M86.332|1.05|16
M86.341|1.05|16
M86.342|1.05|16
M86.351|1.05|16
M86.352|1.05|16
M86.361|1.05|16
M86.362|1.05|16
M86.371|1.05|16
M86.372|1.05|16
M86.38|1.05|16
M86.39|1.05|16
M86.411|1.05|16
M86.412|1.05|16
M86.421|1.05|16
M86.422|1.05|16
M86.431|1.05|16
M86.432|1.05|16
M86.441|1.05|16
M86.442|1.05|16
M86.451|1.05|16
M86.452|1.05|16
M86.461|1.05|16
M86.462|1.05|16
M86.471|1.05|16
M86.472|1.05|16
M86.48|1.05|16
M86.49|1.05|16
M86.511|1.05|16
M86.512|1.05|16
M86.521|1.05|16
M86.522|1.05|16
M86.531|1.05|16
M86.532|1.05|16
M86.541|1.05|16
M86.542|1.05|16
M86.551|1.05|16
M86.552|1.05|16
M86.561|1.05|16
M86.562|1.05|16
M86.571|1.05|16
M86.572|1.05|16
M86.58|1.05|16
M86.59|1.05|16
M86.611|1.05|16
M86.612|1.05|16
M86.621|1.05|16
M86.622|1.05|16
M86.631|1.05|16
M86.632|1.05|16
M86.641|1.05|16
M86.642|1.05|16
M86.651|1.05|16
M86.652|1.05|16
M86.661|1.05|16
M86.662|1.05|16
M86.671|1.05|16
M86.672|1.05|16
M86.68|1.05|16
M86.69|1.05|16
M86.8X0|1.05|16
M86.8X1|1.05|16
M86.8X2|1.05|16
M86.8X3|1.05|16
M86.8X4|1.05|16
M86.8X5|1.05|16
M86.8X6|1.05|16
M86.8X7|1.05|16
M86.8X8|1.05|16
M86.9|1.05|16
T39.1X1A|1.16|17
T39.1X2A|1.16|17
T39.1X3A|1.16|17
T39.1X4A|1.16|17
T40.0X1A|1.16|17
T40.0X2A|1.16|17
T40.0X3A|1.16|17
T40.0X4A|1.16|17
T40.1X1A|1.16|17
T40.1X2A|1.16|17
T40.1X3A|1.16|17
T40.1X4A|1.16|17
T40.2X1A|1.16|17
T40.2X2A|1.16|17
T40.2X3A|1.16|17
T40.2X4A|1.16|17
T40.3X1A|1.16|17
T40.3X2A|1.16|17
T40.3X3A|1.16|17
T40.3X4A|1.16|17
T40.411A|1.16|17
T40.412A|1.16|17
T40.413A|1.16|17
T40.414A|1.16|17
T40.421A|1.16|17
T40.422A|1.16|17
T40.423A|1.16|17
T40.424A|1.16|17
T40.491A|1.16|17
T40.492A|1.16|17
T40.493A|1.16|17
T40.494A|1.16|17
T40.601A|1.16|17
T40.602A|1.16|17
T40.603A|1.16|17
T40.604A|1.16|17
T40.691A|1.16|17
T40.692A|1.16|17
T40.693A|1.16|17
T40.694A|1.16|17
T40.711A|1.16|17
T40.712A|1.16|17
T40.713A|1.16|17
T40.714A|1.16|17
T40.721A|1.16|17
T40.722A|1.16|17
T40.723A|1.16|17
T40.724A|1.16|17
T40.8X1A|1.16|17
T40.8X2A|1.16|17
T40.8X3A|1.16|17
T40.8X4A|1.16|17
T40.901A|1.16|17
T40.902A|1.16|17
T40.903A|1.16|17
T40.904A|1.16|17
T40.991A|1.16|17
T40.992A|1.16|17
T40.993A|1.16|17
T40.994A|1.16|17
T41.0X1A|1.16|17
T41.0X2A|1.16|17
T41.0X3A|1.16|17
T41.0X4A|1.16|17
T41.1X1A|1.16|17
T41.1X2A|1.16|17
T41.1X3A|1.16|17
T41.1X4A|1.16|17
T41.201A|1.16|17
T41.202A|1.16|17
T41.203A|1.16|17
T41.204A|1.16|17
T41.291A|1.16|17
T41.292A|1.16|17
T41.293A|1.16|17
T41.294A|1.16|17
T41.3X1A|1.16|17
T41.3X2A|1.16|17
T41.3X3A|1.16|17
T41.3X4A|1.16|17
T41.41XA|1.16|17
T41.42XA|1.16|17
T41.43XA|1.16|17
T41.44XA|1.16|17
T42.3X1A|1.16|17
T42.3X2A|1.16|17
T42.3X3A|1.16|17
T42.3X4A|1.16|17
T42.4X1A|1.16|17
T42.4X2A|1.16|17
T42.4X3A|1.16|17
T42.4X4A|1.16|17
T42.6X1A|1.16|17
T42.6X2A|1.16|17
T42.6X3A|1.16|17
T42.6X4A|1.16|17
T42.71XA|1.16|17
T42.72XA|1.16|17
T42.73XA|1.16|17
T42.74XA|1.16|17
T42.8X1A|1.16|17
T42.8X2A|1.16|17
T42.8X3A|1.16|17
T42.8X4A|1.16|17
T43.011A|1.16|17
T43.012A|1.16|17
T43.013A|1.16|17
T43.014A|1.16|17
T43.021A|1.16|17
T43.022A|1.16|17
T43.023A|1.16|17
T43.024A|1.16|17
T43.1X1A|1.16|17
T43.1X2A|1.16|17
T43.1X3A|1.16|17
T43.1X4A|1.16|17
T43.201A|1.16|17
T43.202A|1.16|17
T43.203A|1.16|17
T43.204A|1.16|17
T43.211A|1.16|17
T43.212A|1.16|17
T43.213A|1.16|17
T43.214A|1.16|17
T43.221A|1.16|17
T43.222A|1.16|17
T43.223A|1.16|17
T43.224A|1.16|17
T43.291A|1.16|17
T43.292A|1.16|17
T43.293A|1.16|17
T43.294A|1.16|17
T43.3X1A|1.16|17
T43.3X2A|1.16|17
T43.3X3A|1.16|17
T43.3X4A|1.16|17
T43.4X1A|1.16|17
T43.4X2A|1.16|17
T43.4X3A|1.16|17
T43.4X4A|1.16|17
T43.501A|1.16|17
T43.502A|1.16|17
T43.503A|1.16|17
T43.504A|1.16|17
T43.591A|1.16|17
T43.592A|1.16|17
T43.593A|1.16|17
T43.594A|1.16|17
T43.601A|1.16|17
T43.602A|1.16|17
T43.603A|1.16|17
T43.604A|1.16|17
T43.611A|1.16|17
T43.612A|1.16|17
T43.613A|1.16|17
T43.614A|1.16|17
T43.621A|1.16|17
T43.622A|1.16|17
T43.623A|1.16|17
T43.624A|1.16|17
T43.631A|1.16|17
T43.632A|1.16|17
T43.633A|1.16|17
T43.634A|1.16|17
T43.641A|1.16|17
T43.642A|1.16|17
T43.643A|1.16|17
T43.644A|1.16|17
T43.651A|1.16|17
T43.652A|1.16|17
T43.653A|1.16|17
T43.654A|1.16|17
T43.691A|1.16|17
T43.692A|1.16|17
